Kanji#Reading#JLPT#Type#Meaning
['お気の毒']#[['おきのどく']]#3#['&exp;', '&adj-na;']#['I am sorry (to hear, to say, etc.)', 'a pity']
['お得']#[['おとく']]#3#['&adj-na;', '&adj-no;']#['economical', 'bargain', 'good value', 'good-value']
['お洒落']#[['おしゃれ'], ['オシャレ']]#3#['&adj-na;', '&adj-no;']#['smartly dressed', 'stylish', 'fashion-conscious']
['ご苦労様']#[['ごくろうさま']]#3#['&exp;', '&adj-na;']#['thank you for your hard work', 'I appreciate your efforts']
['するが良い']#[['するがいい'], ['するがよい']]#3#['&exp;', '&adj-ix;']#['had better ...', 'may as well ...']
['せざるを得ない']#[['せざるをえない']]#3#['&exp;', '&adj-i;']#['cannot avoid doing', 'cannot help but (do)', 'is compelled to do', '(feel) obliged to (do)', 'has to do']
['だらし無い']#[['だらしない']]#3#['&adj-i;']#['slovenly (appearance, work, etc.)', 'sloppy', 'untidy', 'undisciplined', 'careless', 'loose', 'slack']
['とんでも無い']#[['とんでもない']]#3#['&adj-i;']#['unthinkable', 'unexpected', 'absurd', 'outrageous', 'preposterous', 'terrible']
['どうしたら良い']#[['どうしたらいい'], ['どうしたらよい']]#3#['&exp;', '&adj-ix;']#[\"what's the best thing to do?\", 'what to do?']
['何方付かず']#[['どっちつかず']]#3#['&adj-no;', '&adj-na;', '&n;']#['noncommittal', 'equivocal', 'indecisive', 'evasive', 'ambiguous', 'vague', 'on neither side']
['どの様']#[['どのよう']]#3#['&exp;', '&adj-na;']#['what sort', 'what kind']
['無けなし']#[['なけなし']]#3#['&adj-no;']#['what little ... one has', 'tiny amount of', 'paltry']
['和やか']#[['にこやか']]#3#['&adj-na;']#['smiling', 'beaming', 'radiant', 'bright', 'cheerful']
['直向き']#[['ひたむき']]#3#['&adj-na;']#['earnest', 'single-minded']
['まっ四角']#[['まっしかく']]#3#['&adj-no;', '&adj-na;', '&n;']#['square']
['オブジェクト指向']#[['オブジェクトしこう']]#3#['&n;', '&adj-no;']#['object-oriented']
['加答児']#[['カタル']]#3#['&n;', '&adj-no;']#['catarrh']
['加特力']#[['カトリック']]#3#['&n;', '&adj-no;']#['Catholic (church)']
['ゼロ次']#[['ゼロじ']]#3#['&adj-na;']#['zero-order']
['タイ記録']#[['タイきろく']]#3#['&n;', '&adj-no;']#['equal to the current record (in sports, etc.)']
['満俺']#[['マンガン'], ['まんがん']]#3#['&n;', '&adj-no;']#['manganese (Mn)']
['愛しい']#[['いとしい']]#3#['&adj-i;']#['lovely', 'dear', 'beloved', 'darling', 'dearest']
['愛らしい']#[['あいらしい']]#3#['&adj-i;']#['pretty', 'charming', 'lovely', 'adorable']
['愛想のいい']#[['あいそのいい'], ['あいそのよい']]#3#['&exp;', '&adj-ix;']#['affable', 'amiable', 'sociable', 'agreeable']
['悪感']#[['あっかん'], ['あくかん']]#3#['&n;', '&adj-no;']#['ill feeling', 'ill will', 'antipathy', 'animosity']
['悪役']#[['あくやく']]#3#['&n;', '&adj-no;']#['villain', 'baddie', \"the villain's part\"]
['悪洒落']#[['わるじゃれ'], ['あくぎ'], ['わるざれ']]#3#['&n;', '&adj-na;']#['offensive joke']
['芦毛']#[['あしげ']]#3#['&n;', '&adj-no;']#['dapple-grey (gray) (horse coat colour)']
['安酒']#[['やすざけ']]#3#['&n;', '&adj-no;']#['cheap sake']
['安静']#[['あんせい']]#3#['&n;', '&adj-na;']#['rest', 'quiet', 'repose']
['安全']#[['あんぜん'], ['あんせん']]#3#['&n;', '&adj-na;']#['safety', 'security']
['暗号']#[['あんごう']]#3#['&n;', '&adj-no;']#['code', 'password', 'cipher']
['暗部']#[['あんぶ']]#3#['&n;', '&adj-no;']#['dark side (of nature, town, etc.)']
['以心伝心']#[['いしんでんしん']]#3#['&n;', '&adj-no;']#['telepathy', 'tacit understanding', 'thought transference', 'communion of mind with mind']
['意固地']#[['いこじ'], ['えこじ']]#3#['&adj-na;']#['obstinate', 'stubborn', 'obdurate', 'headstrong', 'willful', 'perverse']
['意図的']#[['いとてき']]#3#['&adj-na;']#['intentional', 'on purpose']
['意想外']#[['いそうがい']]#3#['&adj-na;', '&adj-no;', '&n;']#['unexpected', 'unsuspected']
['意表']#[['いひょう']]#3#['&n;', '&adj-na;']#['surprise', 'something unexpected']
['胃弱']#[['いじゃく']]#3#['&n;', '&adj-no;']#['dyspepsia', 'indigestion', 'weak digestion']
['胃病']#[['いびょう']]#3#['&n;', '&adj-no;']#['stomach trouble']
['１つ星']#[['ひとつぼし']]#3#['&n;', '&adj-no;']#['one star (rating)']
['一位']#[['いちい'], ['イチイ']]#3#['&n;', '&adj-no;']#['first place', 'first rank', \"unit's position\"]
['一元的']#[['いちげんてき']]#3#['&adj-na;']#['monistic', 'unitary', 'unified', 'centralized', 'centralised']
['一糸まとわぬ']#[['いっしまとわぬ']]#3#['&adj-f;']#['stark naked']
['一時的']#[['いちじてき']]#3#['&adj-na;']#['temporary']
['一身上']#[['いっしんじょう']]#3#['&adj-no;']#['personal (affairs, reasons, etc.)']
['一対']#[['いっつい']]#3#['&n;', '&adj-no;']#['pair', 'couple']
['一定']#[['いってい'], ['いちじょう']]#3#['&n;', '&adj-no;', '&vs;', '&adj-na;']#['fixed', 'settled', 'constant', 'definite', 'uniform', 'regularized', 'regularised', 'defined', 'standardized', 'standardised', 'certain', 'prescribed']
['一等']#[['いっとう']]#3#['&n;', '&adj-no;']#['first class', 'first rank', 'first grade', 'first place', 'first prize']
['一番']#[['いちばん']]#3#['&n;', '&adj-no;']#['number one', 'first', 'first place']
['一番多い']#[['いちばんおおい']]#3#['&exp;', '&adj-i;']#['most numerous']
['一風変わった']#[['いっぷうかわった']]#3#['&adj-f;']#['eccentric', 'queer', 'unconventional', 'peculiar', 'original']
['一方的']#[['いっぽうてき']]#3#['&adj-na;']#['one-sided', 'unilateral', 'arbitrary']
['一本調子']#[['いっぽんぢょうし'], ['いっぽんちょうし']]#3#['&adj-na;', '&adj-no;', '&n;']#['monotone', 'monotonous', 'dull', 'lacking variety']
['一様']#[['いちよう']]#3#['&adj-na;', '&adj-no;', '&n;']#['uniform', 'equal', 'even', 'the same', 'identical']
['一連']#[['いちれん']]#3#['&n;', '&adj-no;']#['series', 'chain', 'sequence']
['印章']#[['いんしょう']]#3#['&n;', '&adj-no;']#['stamp', 'seal']
['印象的']#[['いんしょうてき']]#3#['&adj-na;']#['impressive', 'striking', 'memorable', 'impactful']
['引っ切り無し']#[['ひっきりなし']]#3#['&adj-na;', '&adj-no;']#['continually', 'continuously', 'incessantly', 'without interruption']
['飲み放題']#[['のみほうだい']]#3#['&exp;', '&adj-no;']#['all you can drink', 'bottomless cup']
['烏羽玉']#[['うばたま'], ['ウバタマ']]#3#['&n;', '&adj-no;']#['jet black', 'pitch dark']
['羽毛']#[['うもう']]#3#['&n;', '&adj-no;']#['feathers', 'plumage', 'down']
['厭世的']#[['えんせいてき']]#3#['&adj-na;']#['pessimistic']
['円周']#[['えんしゅう']]#3#['&n;', '&adj-no;']#['circumference']
['円錐形']#[['えんすいけい']]#3#['&n;', '&adj-no;']#['cone shape']
['円柱']#[['えんちゅう'], ['まるばしら']]#3#['&n;', '&adj-no;']#['column', 'shaft', 'cylinder']
['園芸']#[['えんげい']]#3#['&n;', '&adj-no;']#['horticulture', 'gardening']
['つや消し']#[['つやけし']]#3#['&adj-na;', '&adj-no;']#['frosted (glass)', 'matted']
['塩っぱい']#[['しょっぱい']]#3#['&adj-i;']#['salty']
['塩化']#[['えんか']]#3#['&n;', '&adj-no;']#['chloride']
['塩味']#[['しおあじ'], ['えんみ'], ['しおみ']]#3#['&n;', '&adj-no;']#['salty taste', 'saltiness']
['塩類']#[['えんるい']]#3#['&n;', '&adj-no;']#['salts']
['横縞']#[['よこじま']]#3#['&n;', '&adj-no;']#['horizontal stripes', 'lateral stripes']
['横着']#[['おうちゃく']]#3#['&n;', '&adj-na;', '&vs;']#['laziness', 'shirking']
['横長']#[['よこなが']]#3#['&adj-na;', '&adj-no;', '&n;']#['oblong', 'landscape orientation']
['王族']#[['おうぞく']]#3#['&n;', '&adj-no;']#['royalty']
['王立']#[['おうりつ']]#3#['&n;', '&adj-no;']#['royal']
['黄']#[['き']]#3#['&n;', '&adj-na;']#['yellow']
['黄金色']#[['こがねいろ']]#3#['&n;', '&adj-no;']#['golden', 'gold-colored', 'gold-coloured', 'honey-colour']
['黄色い']#[['きいろい']]#3#['&adj-i;']#['yellow']
['黄体']#[['おうたい']]#3#['&n;', '&adj-no;']#['corpus luteum']
['黄斑']#[['おうはん']]#3#['&n;', '&adj-no;']#['macula', 'macule', 'macula lutea', 'yellow spot']
['黄みがかった']#[['きみがかった']]#3#['&adj-f;']#['yellowish', 'cream-coloured', 'cream-colored']
['屋内']#[['おくない']]#3#['&n;', '&adj-no;']#['indoor (court, pool, etc.)']
