Kanji#Reading#JLPT#Type#Meaning
['一日一日']#[['いちにちいちにち']]#5#['&adv;', '&adv-to;']#['gradually', 'day by day']
['何やかや']#[['なにやかや']]#5#['&exp;', '&adv-to;', '&adv;']#['this and that', 'one thing or another', 'something or other', 'and whatnot', 'and the rest']
['今か今か']#[['いまかいまか']]#5#['&adv-to;']#['eagerly (waiting)', '(waiting) impatiently']
['高々']#[['たかだか']]#5#['&adv-to;']#['very high', 'high up', 'aloft']
['安々']#[['やすやす']]#5#['&adv;', '&adv-to;']#['calmly', 'peacefully', 'painlessly', 'comfortably']
['生き生き']#[['いきいき']]#5#['&adv;', '&adv-to;', '&vs;']#['in a lively way', 'vividly', 'freshly', 'animatedly', 'actively', 'energetically']
['雨あられ']#[['あめあられ']]#5#['&n;', '&adv-to;']#['hail (e.g. of bullets)', 'barrage', 'storm']
['生々']#[['せいせい']]#5#['&adj-t;', '&adv-to;']#['lively', 'vivid', 'vigorous', 'fresh']
['生気溌剌']#[['せいきはつらつ']]#5#['&adj-t;', '&adv-to;']#['being full of vitality', 'being vivacious']
['上へ上へ']#[['うえへうえへ']]#5#['&adj-no;', '&adv-to;']#['higher and higher']
['東へ東へ']#[['ひがしへひがしへ']]#5#['&exp;', '&adv-to;']#['constantly eastward']
['大大']#[['だいだい']]#5#['&adj-no;', '&adv-to;']#['very big', 'very large']
