Kanji#Reading#JLPT#Type#Meaning
['明かん']#[['あかん'], ['アカン']]#4#['&exp;']#['useless', 'no good', 'hopeless']
['いかなる場合でも']#[['いかなるばあいでも']]#4#['&exp;']#['in any case', 'whatever the case may be']
['お待ちどおさま']#[['おまちどおさま'], ['おまちどうさま']]#4#['&exp;']#[\"I'm sorry to have kept you waiting\"]
['お大事に']#[['おだいじに']]#4#['&exp;']#['take care of yourself', 'get well soon', 'God bless you', 'bless you']
['かも知れない']#[['かもしれない']]#4#['&exp;']#['may', 'might', 'perhaps', 'may be', 'possibly']
['かも知れません']#[['かもしれません']]#4#['&exp;']#['may', 'might', 'perhaps', 'may be', 'possibly']
['事にすると']#[['ことにすると']]#4#['&exp;']#['perhaps', 'maybe', 'possibly']
['事によって']#[['ことによって']]#4#['&exp;']#['via', 'through', 'by doing', 'by means of', 'using']
['この場合']#[['このばあい']]#4#['&exp;']#['in this case']
['これと同じ']#[['これとおなじ']]#4#['&exp;']#['the same as this']
['また明日']#[['またあした']]#4#['&exp;']#['see you tomorrow']
['そうでない場合は']#[['そうでないばあいは']]#4#['&exp;']#['if this is not the case']
['その場合には']#[['そのばあいには']]#4#['&exp;']#['in that case']
['その都度']#[['そのつど']]#4#['&exp;']#['each time it happens', 'at all such times']
['それ以上']#[['それいじょう']]#4#['&exp;']#['further', 'above', 'anymore']
['と同じように']#[['とおなじように']]#4#['&exp;']#['in the same way as', 'just like']
['どうって事はない']#[['どうってことはない']]#4#['&exp;']#['nothing special', 'no big deal', \"doesn't matter\", 'nothing to worry about']
['どうという事もない']#[['どうということもない']]#4#['&exp;']#['nothing special', 'no big deal', \"doesn't matter\"]
['何方へ']#[['どちらへ']]#4#['&exp;']#['where to?', 'whither?']
['何方も']#[['どちらも'], ['どっちも']]#4#['&exp;']#['both']
['どの場合にも']#[['どのばあいにも']]#4#['&exp;']#['in any case', 'in either case', 'whichever the case may be']
['まず隗より始めよ']#[['まずかいよりはじめよ']]#4#['&exp;']#['start with the first step', 'when embarking on a great project, start with immediate steps']
['以て']#[['もって']]#4#['&exp;']#['with', 'by', 'by means of']
['一頭立て']#[['いっとうだて']]#4#['&exp;']#['one-horse (carriage)']
['いずれの場合においても']#[['いずれのばあいにおいても']]#4#['&exp;']#['in either case', 'in all cases']
['何用で']#[['なにようで']]#4#['&exp;']#['on what business']
['顔から火が出る']#[['かおからひがでる']]#4#['&v1;', '&exp;']#['to be extremely embarrassed', 'to burn with shame']
['すんでの所で']#[['すんでのところで']]#4#['&exp;']#['almost', 'very nearly', 'only just', 'barely', 'just in time']
['気が引ける']#[['きがひける']]#4#['&v1;', '&exp;']#['to feel awkward', 'to feel ashamed', 'to feel inferior', 'to feel shy (about doing something)']
['起こりうる']#[['おこりうる']]#4#['&exp;']#['to be possible to occur']
['急いで']#[['いそいで']]#4#['&exp;']#['hurriedly', 'in haste', 'in a rush', 'quickly']
['急がば回れ']#[['いそがばまわれ']]#4#['&exp;']#['more haste, less speed', 'slow and steady wins the race']
['強いて言えば']#[['しいていえば']]#4#['&exp;']#[\"if I'm forced to say something\", 'if anything', 'if I must say', 'if I must choose']
['おっしゃる通り']#[['おっしゃるとおり']]#4#['&exp;']#['I agree with you', 'it is as (someone) says']
['考えてみれば']#[['かんがえてみれば']]#4#['&exp;']#['if you think about it', 'come to think of it']
['今思うと']#[['いまおもうと']]#4#['&exp;']#['thinking back now']
['三日三夜']#[['みっかみよ']]#4#['&exp;']#['3 days and 3 nights']
['始めは']#[['はじめは']]#4#['&exp;']#['at first', 'in the beginning', 'originally']
['私宛']#[['わたしあて'], ['わたくしあて']]#4#['&exp;']#['my address']
['自らの手で']#[['みずからのてで']]#4#['&exp;']#[\"with one's own hands\"]
['弱り目に祟り目']#[['よわりめにたたりめ']]#4#['&exp;']#['misfortunes never come singly']
['手前の方']#[['てまえのほう']]#4#['&exp;']#['this side', 'in the forefront']
['住めば都']#[['すめばみやこ']]#4#['&exp;']#['you can get used to living anywhere', 'home is where you make it', 'wherever I lay my hat is home']
['場合によって']#[['ばあいによって']]#4#['&exp;']#['depending on the situation', 'should time and circumstances permit']
['働き通しで']#[['はたらきとおしで']]#4#['&exp;']#['working right on through']
['特になし']#[['とくになし']]#4#['&exp;']#['nothing in particular', 'none in particular']
['二本建て']#[['にほんだて']]#4#['&exp;']#['dual system', 'double standard']
['不一']#[['ふいつ'], ['ふいち']]#4#['&exp;']#['Very sincerely yours']
['別言すれば']#[['べつげんすれば']]#4#['&exp;']#['in other words']
['別便で']#[['べつびんで']]#4#['&exp;']#['by separate post']
['明けましておめでとうございます']#[['あけましておめでとうございます']]#4#['&exp;']#['Happy New Year']
['邯鄲の歩み']#[['かんたんのあゆみ']]#4#['&exp;']#['like the young man who tried to walk like the Kantan people, gave up, and forgot how to walk']
['代わりに']#[['かわりに']]#4#['&exp;']#['instead of', 'in place of', 'as a substitute for']
['万事休す']#[['ばんじきゅうす']]#4#['&exp;']#['there is nothing more that can be done', \"it's all over\"]
['始まらない']#[['はじまらない']]#4#['&exp;']#[\"It's no use\"]
['耳が早い']#[['みみがはやい']]#4#['&exp;']#['being quick-eared', 'having sharp ears', 'being first to know about something']
['待ったなし']#[['まったなし']]#4#['&exp;']#['now or never', \"time's up\"]
['魚心あれば水心']#[['うおごころあればみずごころ']]#4#['&exp;']#['if you do a favor for somebody, you will get a return favor', {'_': 'if a fish is friendly toward water, water will be kind to the fish too', '$': {'g_type': 'lit'}}, 'mutual back-scratching']
