Kanji,Reading,JLPT,Type,Meaning
['悄悄'],"[['しおしお'], ['しょうしょう'], ['すごすご']]",100,"['&adj-t;', '&adv-to;']","['in low spirits', 'dejected', 'sad']"
['沁み沁み'],[['しみじみ']],100,"['&adv;', '&adv-to;']","['keenly', 'deeply', 'fully', 'heartily', 'seriously', 'earnestly']"
['犇犇'],[['ひしひし']],100,"['&adv;', '&adv-to;']","['acutely (feel)', 'keenly', 'severely']"
['惚れ惚れ'],"[['ほれぼれ'], ['ほれほれ']]",100,"['&adv;', '&adv-to;', '&vs;']","['fondly', 'admiringly', 'with fascination', 'with adoration', 'with enchantment']"
['凛'],[['りん']],100,"['&adj-t;', '&adv-to;']","['cold', 'frigid', 'bracing']"
['忸怩'],[['じくじ']],100,"['&adj-t;', '&adv-to;']","['bashful', 'shameful', 'ashamed']"
['恍惚'],[['こうこつ']],100,"['&n;', '&adv-to;', '&adj-t;']","['ecstasy', 'rapture', 'trance']"
['朦朧'],[['もうろう']],100,"['&adj-t;', '&adv-to;']","['dim', 'hazy', 'vague', 'indistinct', 'faint', 'fuzzy', 'cloudy', 'obscure']"
['煌々'],[['こうこう']],100,"['&adj-t;', '&adv-to;']","['brilliant', 'bright', 'dazzling']"
['矍鑠'],[['かくしゃく']],100,"['&adj-t;', '&adv-to;']","['vigorous (in old age)', 'hale and hearty']"
['靉靆'],[['あいたい']],100,"['&adj-t;', '&adv-to;']","['trailing (clouds)', 'thick', 'heavy']"
['飄々'],[['ひょうひょう']],100,"['&adj-t;', '&adv-to;']","['whistling (wind)', 'blowing', 'howling']"
['齷齪'],"[['あくせく'], ['あくさく']]",100,"['&adv;', '&adv-to;', '&vs;']","['busily', 'sedulously', 'laboriously', 'feverishly', 'fussily', 'worrying (about little things)']"
['倩々'],[['つらつら']],100,"['&adv;', '&adv-to;']","['carefully', 'attentively', 'profoundly', 'deeply', 'at length']"
['殷々'],[['いんいん']],100,"['&adj-t;', '&adv-to;']","['roaring', 'booming', 'bellowing', 'pealing', 'reverberating', 'rumbling']"
['鬱々'],[['うつうつ']],100,"['&adj-t;', '&adv-to;']","['gloomy', 'melancholy', 'pessimistic']"
['赫々'],"[['かくかく'], ['かっかく']]",100,"['&adj-t;', '&adv-to;']","['brilliant', 'bright', 'glorious']"
['諤々'],[['がくがく']],100,"['&adj-t;', '&adv-to;', '&adj-no;']","['outspoken', 'frank', 'candid']"
['汲々'],[['きゅうきゅう']],100,"['&adj-t;', '&adv-to;']","['diligent', 'absorbed (in something)']"
['滾々'],[['こんこん']],100,"['&adj-t;', '&adv-to;']",['copious (flowing)']
['些々'],[['ささ']],100,"['&adj-t;', '&adv-to;']","['trifling', 'trivial']"
['楚々'],[['そそ']],100,"['&adj-t;', '&adv-to;']","['graceful', 'neat']"
['咄々'],[['とつとつ']],100,"['&adv;', '&adv-to;']",['clicking (of the tongue)']
['翩々'],[['へんぺん']],100,"['&adj-t;', '&adv-to;']",['fluttering']
['勃々'],[['ぼつぼつ']],100,"['&adj-t;', '&adv-to;']","['spirited', 'rising', 'energetic']"
['冥々'],[['めいめい']],100,"['&adj-t;', '&adv-to;', '&adj-no;', '&n;']","['dark', 'invisible']"
['濛々'],[['もうもう']],100,"['&adj-t;', '&adv-to;']","['dense (e.g. fog, dust, etc.)', 'thick']"
['悶々'],[['もんもん']],100,"['&adj-t;', '&adv-to;']","['anguished', 'distressed', 'worried', 'discontented']"
['凛々'],[['りんりん']],100,"['&adj-t;', '&adv-to;']","['severe', 'intense', 'awe-inspiring', 'commanding']"
['溌剌'],"[['はつらつ'], ['ハツラツ']]",100,"['&adj-t;', '&adv-to;']","['lively', 'vigorous', 'sprightly', 'animated', 'vivid']"
['昏々'],[['こんこん']],100,"['&adj-t;', '&adv-to;']","['fast asleep', 'dead to the world']"
['駘蕩'],[['たいとう']],100,"['&adj-t;', '&adv-to;']",['large and wide']
['蕩々'],[['とうとう']],100,"['&adj-t;', '&adv-to;']","['vast', 'calm']"
['鬱勃'],[['うつぼつ']],100,"['&adj-t;', '&adv-to;']","['pent-up (energy, enthusiasm, etc.)', 'burning (e.g. ambition)', 'irrepressible (e.g. desire)']"
['爛々'],[['らんらん']],100,"['&adj-t;', '&adv-to;']","['glaring', 'flaming', 'fiery', 'blazing']"
['奄々'],[['えんえん']],100,"['&adj-t;', '&adv-to;']",['gasping']
['訥々'],[['とつとつ']],100,"['&adj-t;', '&adv-to;']","['halting (speech)', 'faltering', 'stammering']"
['炯々'],[['けいけい']],100,"['&adj-t;', '&adv-to;']","['glaring (eyes)', 'piercing', 'penetrating']"
['縷縷'],[['るる']],100,"['&adj-t;', '&adv-to;']","['continuously', 'unbroken', 'at great length', 'in minute detail']"
['坦々'],[['たんたん']],100,"['&adj-t;', '&adv-to;']","['level', 'even', 'flat', 'smooth']"
['寥々'],[['りょうりょう']],100,"['&adj-t;', '&adv-to;']","['lonely', 'dreary', 'desolate', 'barren']"
['淋漓'],[['りんり']],100,"['&adj-t;', '&adv-to;']","['dripping (with)', 'brimming']"
['錚々'],[['そうそう']],100,"['&adj-t;', '&adv-to;']","['eminent', 'prominent', 'distinguished', 'first-rate', 'leading']"
['渺々'],[['びょうびょう']],100,"['&adj-t;', '&adv-to;']","['boundless', 'limitless', 'vast', 'broad']"
['爛'],[['らん']],100,"['&adj-t;', '&adv-to;']","['brilliant', 'bright']"
['婀娜'],[['あだ']],100,"['&adj-na;', '&adv-to;']","['coquettish', 'charming', 'seductive']"
['惘惘'],"[['もうもう'], ['ぼうぼう']]",100,['&adv-to;'],"['flat', 'listless (through despair)']"
['茫々'],[['ぼうぼう']],100,"['&adj-t;', '&adv-to;']","['vast (ocean, desert, etc.)', 'boundless', 'extensive']"
['蓊鬱'],[['おううつ']],100,"['&adj-t;', '&adv-to;']","['overgrown', 'exuberant', 'lush']"
['戛戛'],"[['かつかつ'], ['カツカツ']]",100,['&adv-to;'],"['clicking', 'clopping', 'clacking']"
['縹渺'],[['ひょうびょう']],100,"['&adj-t;', '&adv-to;']","['boundless', 'vast', 'limitless']"
['鼕々'],[['とうとう']],100,"['&adj-t;', '&adv-to;']",['sound of bells or drums reverberating']
['岌岌'],[['きゅうきゅう']],100,"['&adj-t;', '&adv-to;']","['tall (as a mountain, etc.)']"
['穆穆'],[['ぼくぼく']],100,"['&adj-t;', '&adv-to;']","['peaceful and lovely', 'humble and dignified']"
['鏗鏗'],[['こうこう']],100,"['&adj-t;', '&adv-to;']",['the ringing out of bells or chimes']
['鏗鏘'],[['こうそう']],100,"['&adj-t;', '&adv-to;']","['resounding (sound of bells, musical instruments, stones being struck, etc.)']"
['眇眇'],[['びょうびょう']],100,"['&adj-t;', '&adv-to;']","['slight', 'trifling']"
['蕭寥'],[['しょうりょう']],100,"['&adj-t;', '&adv-to;']","['desolate', 'lonely', 'barren']"
['孜々'],[['しし']],100,"['&adj-t;', '&adv-to;']","['assiduously', 'diligently']"
['芬々'],[['ふんぷん']],100,"['&adj-t;', '&adv-to;']","['(of a smell, esp. a good smell) strong']"
['澎湃'],[['ほうはい']],100,"['&adj-t;', '&adv-to;']",['as the sound of surging water']
['赫奕'],"[['かくえき'], ['かくやく']]",100,"['&adj-t;', '&adv-to;']","['bright', 'beaming', 'brilliant', 'glowing']"
['唖々'],[['ああ']],100,"['&adv;', '&adv-to;']","['caw (of a crow, etc.)']"
['喧々諤々'],[['けんけんがくがく']],100,"['&adj-t;', '&adv-to;']","['tumultuous (with everyone voicing their opinions simultaneously)', 'uproarious']"
['匆々'],[['そうそう']],100,"['&adj-na;', '&adv-to;', '&n;']","['busy', 'hurried', 'rushed']"
['惻々'],"[['そくそく'], ['しょくしょく']]",100,"['&adj-t;', '&adv-to;']","['keenly felt', 'heart-wrenching', 'heart-rending']"
['杳'],[['よう']],100,"['&adj-t;', '&adv-to;']","['dark', 'not understood', 'unknown']"
['恬'],[['てん']],100,"['&adj-t;', '&adv-to;']","['cool', 'indifferent', 'nonchalant', 'calm']"
['冪冪'],[['べきべき']],100,"['&adj-t;', '&adv-to;']","['billowing (clouds, dust)']"
['怏々'],[['おうおう']],100,"['&adj-t;', '&adv-to;']","['discontented', 'unhappy']"
['藹々'],[['あいあい']],100,"['&adj-t;', '&adv-to;']","['harmonious', 'peaceful', 'congenial']"
['渺茫'],[['びょうぼう']],100,"['&adj-t;', '&adv-to;']","['vast', 'boundless']"
