Kanji,Reading,JLPT,Type,Meaning
['いい加減にしなさい'],[['いいかげんにしなさい']],2,['&exp;'],"['shape up!', 'act properly!']"
['おめでとう御座います'],[['おめでとうございます']],2,['&exp;'],['congratulations']
['お構いなく'],[['おかまいなく']],2,['&exp;'],"[""please don't fuss over me"", ""don't go to any trouble"", ""don't bother""]"
['お疲れ様'],[['おつかれさま']],2,['&exp;'],"['thank you for your hard work', 'good work']"
['す可き'],[['すべき']],2,['&exp;'],"['should do', 'ought to do']"
['ちょっと一杯'],[['ちょっといっぱい']],2,['&exp;'],"[""let's have a quick drink""]"
['と仮定して'],[['とかていして']],2,['&exp;'],"['assuming that ...', 'supposing that ...']"
['と仮定しても'],[['とかていしても']],2,['&exp;'],"['even assuming that ...', 'even granted that ...']"
['と比べて'],[['とくらべて']],2,['&exp;'],['compared with']
['に因って'],[['によって']],2,['&exp;'],"['according to', 'by (means of)', 'due to', 'because of']"
['に依ると'],[['によると']],2,['&exp;'],['according to (someone)']
['に応じて'],[['におうじて']],2,['&exp;'],"['depending on', 'dependent on']"
['に基づいて'],[['にもとづいて']],2,['&exp;'],"['based on', 'on the basis of']"
['に似て'],[['ににて']],2,['&exp;'],"['similar to', 'like']"
['に比べ'],[['にくらべ']],2,['&exp;'],['compared to']
['もし可能ならば'],[['もしかのうならば']],2,['&exp;'],['if possible']
['一刻千金'],[['いっこくせんきん']],2,['&exp;'],"['every moment is precious', 'time is money', 'precious time']"
['引き換えて'],[['ひきかえて']],2,['&exp;'],['on the contrary']
['雨降って地固まる'],[['あめふってじかたまる']],2,['&exp;'],"['adversity strengthens the foundations', 'after a storm comes a calm', ""what doesn't kill you makes you stronger""]"
['奥まって'],[['おくまって']],2,['&exp;'],"['secluded', 'innermost']"
['応じて'],[['おうじて']],2,['&exp;'],"['in proportion to', 'according to', 'depending on']"
['可からず'],[['べからず']],2,['&exp;'],"['must not', 'should not', 'do not']"
['可能であれば'],[['かのうであれば']],2,['&exp;'],['if possible']
['果報は寝て待て'],[['かほうはねてまて']],2,['&exp;'],['good things come to those who wait']
['花より団子'],[['はなよりだんご']],2,['&exp;'],"['function over aesthetics', {'_': 'dumplings over flowers', '$': {'g_type': 'lit'}}]"
['介して'],[['かいして']],2,['&exp;'],['through the medium of']
['完膚なきまで'],[['かんぷなきまで']],2,['&exp;'],"['completely', 'thoroughly', 'horribly', 'without exception', ""until there's no untouched (undamaged) part""]"
['換言すれば'],[['かんげんすれば']],2,['&exp;'],"['in other words', 'that is (to say)', 'to put it another way']"
['甘言は偶人を喜ばす'],[['かんげんはぐうじんをよろこばす']],2,['&exp;'],"['sweet words only please a fool', 'flattery works on puppets and fools']"
['簡単に言うと'],[['かんたんにいうと']],2,['&exp;'],['simply put']
['簡単に言えば'],[['かんたんにいえば']],2,['&exp;'],"['simply put', 'putting it simply', 'in short']"
['間一髪を入れず'],[['かんいっぱつをいれず']],2,['&exp;'],"['immediately', 'instantly', 'with nary a pause', ""without a moment's delay""]"
['玉石混淆'],[['ぎょくせきこんこう']],2,['&exp;'],"['mixture of wheat and chaff', 'mixture of the good and bad', 'jumble of wheat and tares']"
['勤務地手当て'],[['きんむちてあて']],2,['&exp;'],['area allowance']
['苦しい時の神頼み'],[['くるしいときのかみだのみ']],2,['&exp;'],"['danger past, God forgotten']"
['肩身が広い'],[['かたみがひろい']],2,['&exp;'],['(feeling) proud']
['原則として'],[['げんそくとして']],2,['&exp;'],"['as a rule', 'in general', 'in principle', 'basically', 'essentially', 'fundamentally']"
['言い替えるなら'],[['いいかえるなら']],2,['&exp;'],"['if we put this another way', 'in other words', 'put differently']"
['ご多忙中'],[['ごたぼうちゅう']],2,['&exp;'],['excuse me for interrupting you when you are so busy']
['構いません'],[['かまいません']],2,['&exp;'],"['no problem', ""it doesn't matter""]"
['三日三晩'],[['みっかみばん']],2,['&exp;'],['three days and three nights']
['歯の浮くような'],[['はのうくような']],2,['&exp;'],"[""set one's teeth on edge""]"
['事寄せて'],[['ことよせて']],2,['&exp;'],"['on the plea of', 'under the pretext of']"
['似て非なる'],[['にてひなる']],2,['&exp;'],"['falsely similar', 'counterfeit']"
['取り込み中'],[['とりこみちゅう']],2,['&exp;'],"['in the middle of something', 'busy with something']"
['女三人寄れば姦しい'],[['おんなさんにんよればかしましい']],2,['&exp;'],"['three women make a market', 'many women many words', {'_': 'three women gathering creates a racket', '$': {'g_type': 'lit'}}]"
['除いて'],[['のぞいて']],2,['&exp;'],"['except', 'save']"
['場合を除き'],[['ばあいをのぞき']],2,['&exp;'],"['excluding the case when', 'when not']"
